Winner,wins_r,losses_r,draws_r,height_cm_r,weight_in_kg_r,reach_in_cm_r,stance_r,significant_strikes_landed_per_minute_r,significant_striking_accuracy_r,significant_strikes_absorbed_per_minute_r,significant_strike_defence_r,average_takedowns_landed_per_15_minutes_r,takedown_accuracy_r,takedown_defense_r,average_submissions_attempted_per_15_minutes_r,wins_b,losses_b,draws_b,height_cm_b,weight_in_kg_b,reach_in_cm_b,stance_b,significant_strikes_landed_per_minute_b,significant_striking_accuracy_b,significant_strikes_absorbed_per_minute_b,significant_strike_defence_b,average_takedowns_landed_per_15_minutes_b,takedown_accuracy_b,takedown_defense_b,average_submissions_attempted_per_15_minutes_b
1,24,4,0,172.72,61.23,172.72,Orthodox,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1,16,4,1,170.18,61.23,172.72,Southpaw,4.85,42.0,4.67,58.0,1.09,35.0,61.0,0.4
1,29,10,1,187.96,92.99,198.12,Orthodox,3.41,50.0,2.91,53.0,1.09,50.0,68.0,0.3,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1
1,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1,22,6,0,177.8,77.11,180.34,Orthodox,3.36,48.0,3.34,54.0,1.95,35.0,47.0,0.5
0,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,37,10,0,200.66,113.4,203.2,Orthodox,5.1,57.0,3.0,54.0,0.49,63.0,73.0,0.2
1,17,4,0,180.34,61.23,177.8,Switch,5.33,44.0,3.4,58.0,1.36,33.0,64.0,0.3,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3
1,29,8,0,175.26,70.31,182.88,Southpaw,5.49,50.0,4.3,53.0,1.36,36.0,63.0,1.2,22,6,0,175.26,70.31,187.96,Southpaw,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1
1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,23,7,0,180.34,65.77,182.88,Orthodox,5.12,39.0,7.1,54.0,0.42,29.0,91.0,0.1
0,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,12,2,0,193.04,111.13,205.74,Orthodox,5.49,60.0,2.19,63.0,0.58,21.0,50.0,0.5
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,25,4,0,180.34,70.31,177.8,Orthodox,7.35,60.0,7.5,53.0,0.13,25.0,75.0,0.0
1,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1,14,2,0,185.42,83.91,182.88,Orthodox,6.5,60.0,6.38,47.0,0.53,75.0,79.0,0.0
1,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,16,5,1,190.5,120.2,195.58,Orthodox,4.6,49.0,3.83,48.0,0.23,40.0,56.0,0.0
0,20,8,0,167.64,61.23,165.1,Orthodox,5.45,43.0,6.14,56.0,0.47,19.0,82.0,0.5,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3
